text_full,labels
"Нужно ли предоставлять документы подтверждающие регистрацию? 1. Денежная компенсация стоимости путевки в организации отдыха детям-сиротам 2. Денежная компенсация детям-сиротам, детям, оставшимся без попечения родителей, и лицам из числа детей-сирот и детей, оставшихся без попечения родителей, стоимости путевки в организации отдыха детей и молодежи и их оздоровления",
"Какие документы подтверждают льготную категорию? 1. Денежная компенсация стоимости путевки в организации отдыха детям-сиротам 2. Денежная компенсация детям-сиротам, детям, оставшимся без попечения родителей, и лицам из числа детей-сирот и детей, оставшихся без попечения родителей, стоимости путевки в организации отдыха детей и молодежи и их оздоровления",
"Какой договор предоставить заявителю? 1. Денежная компенсация стоимости путевки в организации отдыха детям-сиротам 2. Денежная компенсация детям-сиротам, детям, оставшимся без попечения родителей, и лицам из числа детей-сирот и детей, оставшихся без попечения родителей, стоимости путевки в организации отдыха детей и молодежи и их оздоровления",
"Какую документ о прибытии предоставить заявителю? 1. Денежная компенсация стоимости путевки в организации отдыха детям-сиротам 2. Денежная компенсация детям-сиротам, детям, оставшимся без попечения родителей, и лицам из числа детей-сирот и детей, оставшихся без попечения родителей, стоимости путевки в организации отдыха детей и молодежи и их оздоровления",
"Какой документ подтверждающий оплату предоставить заявителю? 1. Денежная компенсация стоимости путевки в организации отдыха детям-сиротам 2. Денежная компенсация детям-сиротам, детям, оставшимся без попечения родителей, и лицам из числа детей-сирот и детей, оставшихся без попечения родителей, стоимости путевки в организации отдыха детей и молодежи и их оздоровления",
"Нужно ли предоставить справку с образовательной организации? 1. Денежная компенсация стоимости путевки в организации отдыха детям-сиротам 2. Денежная компенсация детям-сиротам, детям, оставшимся без попечения родителей, и лицам из числа детей-сирот и детей, оставшихся без попечения родителей, стоимости путевки в организации отдыха детей и молодежи и их оздоровления",
"Какие дополнительные документы предоставить заявителю? 1. Денежная компенсация стоимости путевки в организации отдыха детям-сиротам 2. Денежная компенсация детям-сиротам, детям, оставшимся без попечения родителей, и лицам из числа детей-сирот и детей, оставшихся без попечения родителей, стоимости путевки в организации отдыха детей и молодежи и их оздоровления",
"Какие основания для отказов в приеме документов? 1. Денежная компенсация стоимости путевки в организации отдыха детям-сиротам 2. Денежная компенсация детям-сиротам, детям, оставшимся без попечения родителей, и лицам из числа детей-сирот и детей, оставшихся без попечения родителей, стоимости путевки в организации отдыха детей и молодежи и их оздоровления",
"Какие основания для отказов в предоставлении услуги? 1. Денежная компенсация стоимости путевки в организации отдыха детям-сиротам 2. Денежная компенсация детям-сиротам, детям, оставшимся без попечения родителей, и лицам из числа детей-сирот и детей, оставшихся без попечения родителей, стоимости путевки в организации отдыха детей и молодежи и их оздоровления",
"Какой результат предоставления услуги? 1. Денежная компенсация стоимости путевки в организации отдыха детям-сиротам 2. Денежная компенсация детям-сиротам, детям, оставшимся без попечения родителей, и лицам из числа детей-сирот и детей, оставшихся без попечения родителей, стоимости путевки в организации отдыха детей и молодежи и их оздоровления",
"Какой срок предоставления услуги? 1. Денежная компенсация стоимости путевки в организации отдыха детям-сиротам 2. Денежная компенсация детям-сиротам, детям, оставшимся без попечения родителей, и лицам из числа детей-сирот и детей, оставшихся без попечения родителей, стоимости путевки в организации отдыха детей и молодежи и их оздоровления",
Кто является заявителем? Предоставление ежемесячного денежного пособия на личные расходы детям-сиротам,
Кому назначается? Предоставление ежемесячного денежного пособия на личные расходы детям-сиротам,
Какой размер пособия? Предоставление ежемесячного денежного пособия на личные расходы детям-сиротам,
Какой документ удостоверяющий личность должен предоставить заявитель? Предоставление ежемесячного денежного пособия на личные расходы детям-сиротам,
Какие документы предоставляются при обращении представителя? Предоставление ежемесячного денежного пособия на личные расходы детям-сиротам,
Какие документы подтверждают льготную категорию? Предоставление ежемесячного денежного пособия на личные расходы детям-сиротам,
Какие дополнительно документы предоставляет заявитель? Предоставление ежемесячного денежного пособия на личные расходы детям-сиротам,
Какие основания для отказа в приеме документов? Предоставление ежемесячного денежного пособия на личные расходы детям-сиротам,
Какие основания для отказа в предоставлении услуги? Предоставление ежемесячного денежного пособия на личные расходы детям-сиротам,
Какой результат предоставления услуги? Предоставление ежемесячного денежного пособия на личные расходы детям-сиротам,
Какой срок редоставления услуги? Предоставление ежемесячного денежного пособия на личные расходы детям-сиротам,
Какие основные обстоятельства для оформления услуги? 1.ПДФ Единовр. пособие при передаче ребенка на воспитание в семью 2. Единовременное пособие при передаче ребенка на воспитание в семью (за счет средств федерального бюджета),
Кто имеет право на оформление услуги? 1.ПДФ Единовр. пособие при передаче ребенка на воспитание в семью 2. Единовременное пособие при передаче ребенка на воспитание в семью (за счет средств федерального бюджета),
При передачи нескольких детей в семью на кого оформлять обращение? 1.ПДФ Единовр. пособие при передаче ребенка на воспитание в семью 2. Единовременное пособие при передаче ребенка на воспитание в семью (за счет средств федерального бюджета),
Какие суммы выплаты? 1.ПДФ Единовр. пособие при передаче ребенка на воспитание в семью 2. Единовременное пособие при передаче ребенка на воспитание в семью (за счет средств федерального бюджета),
Кому услуга не предоставляется? 1.ПДФ Единовр. пособие при передаче ребенка на воспитание в семью 2. Единовременное пособие при передаче ребенка на воспитание в семью (за счет средств федерального бюджета),
Какие документы предоставляет представитель заявителя? 1.ПДФ Единовр. пособие при передаче ребенка на воспитание в семью 2. Единовременное пособие при передаче ребенка на воспитание в семью (за счет средств федерального бюджета),
Какие дополнительные документы ? 1.ПДФ Единовр. пособие при передаче ребенка на воспитание в семью 2. Единовременное пособие при передаче ребенка на воспитание в семью (за счет средств федерального бюджета),
Основания для отказа в приеме документов? 1.ПДФ Единовр. пособие при передаче ребенка на воспитание в семью 2. Единовременное пособие при передаче ребенка на воспитание в семью (за счет средств федерального бюджета),
Основания для отказа в предоставлении услуги? 1.ПДФ Единовр. пособие при передаче ребенка на воспитание в семью 2. Единовременное пособие при передаче ребенка на воспитание в семью (за счет средств федерального бюджета),
Какой результат предоставления услуги? 1.ПДФ Единовр. пособие при передаче ребенка на воспитание в семью 2. Единовременное пособие при передаче ребенка на воспитание в семью (за счет средств федерального бюджета),
Какой срок предоставления услуги? 1.ПДФ Единовр. пособие при передаче ребенка на воспитание в семью 2. Единовременное пособие при передаче ребенка на воспитание в семью (за счет средств федерального бюджета),
Кто является заявителем? 1. Единовременное пособие при передаче ребенка в семью на усыновление (удочерение) 2. Единовременное пособие при передаче ребенка в семью за счет средств бюджета Санкт-Петербурга,
В какой срок подавали? 1. Единовременное пособие при передаче ребенка в семью на усыновление (удочерение) 2. Единовременное пособие при передаче ребенка в семью за счет средств бюджета Санкт-Петербурга,
Кому не назначается выплата? 1. Единовременное пособие при передаче ребенка в семью на усыновление (удочерение) 2. Единовременное пособие при передаче ребенка в семью за счет средств бюджета Санкт-Петербурга,
Какая сумма выплат? 1. Единовременное пособие при передаче ребенка в семью на усыновление (удочерение) 2. Единовременное пособие при передаче ребенка в семью за счет средств бюджета Санкт-Петербурга,
Какие документы подтверждают личность заявителя? 1. Единовременное пособие при передаче ребенка в семью на усыновление (удочерение) 2. Единовременное пособие при передаче ребенка в семью за счет средств бюджета Санкт-Петербурга,
Какие документы предоставляет заявитель. если обратился представитель? 1. Единовременное пособие при передаче ребенка в семью на усыновление (удочерение) 2. Единовременное пособие при передаче ребенка в семью за счет средств бюджета Санкт-Петербурга,
Какие дополнительные документы предоставляет заявитель? 1. Единовременное пособие при передаче ребенка в семью на усыновление (удочерение) 2. Единовременное пособие при передаче ребенка в семью за счет средств бюджета Санкт-Петербурга,
Какие основания для отказа в приеме документов? 1. Единовременное пособие при передаче ребенка в семью на усыновление (удочерение) 2. Единовременное пособие при передаче ребенка в семью за счет средств бюджета Санкт-Петербурга,
Какие основания для отказа в предоставлении услуги? 1. Единовременное пособие при передаче ребенка в семью на усыновление (удочерение) 2. Единовременное пособие при передаче ребенка в семью за счет средств бюджета Санкт-Петербурга,
Какой результат предоставления услуги? 1. Единовременное пособие при передаче ребенка в семью на усыновление (удочерение) 2. Единовременное пособие при передаче ребенка в семью за счет средств бюджета Санкт-Петербурга,
Какой срок предоставления услуги? 1. Единовременное пособие при передаче ребенка в семью на усыновление (удочерение) 2. Единовременное пособие при передаче ребенка в семью за счет средств бюджета Санкт-Петербурга,
Какие документы предоставляются в случае обращения представителя? 1. Прием документов для получения путевки на санаторно-курортное лечение 2. Обеспечение санаторно-курортным лечением отдельных категорий граждан,1. Лечение
Какие документы предоставляются в случае обращения законного представителя? 1. Прием документов для получения путевки на санаторно-курортное лечение 2. Обеспечение санаторно-курортным лечением отдельных категорий граждан,1. Лечение
Какие справка предоставляется заявителем? 1. Прием документов для получения путевки на санаторно-курортное лечение 2. Обеспечение санаторно-курортным лечением отдельных категорий граждан,1. Лечение
Какие основания для отказа в приеме документов? 1. Прием документов для получения путевки на санаторно-курортное лечение 2. Обеспечение санаторно-курортным лечением отдельных категорий граждан,1. Лечение
Какие основания для отказа в предоставлении услуги? 1. Прием документов для получения путевки на санаторно-курортное лечение 2. Обеспечение санаторно-курортным лечением отдельных категорий граждан,1. Лечение
Какой результат? 1. Прием документов для получения путевки на санаторно-курортное лечение 2. Обеспечение санаторно-курортным лечением отдельных категорий граждан,1. Лечение
Какой срок предоставления? 1. Прием документов для получения путевки на санаторно-курортное лечение 2. Обеспечение санаторно-курортным лечением отдельных категорий граждан,1. Лечение
Что должно быть указано в листке нетрудоспособности? 1. Ежемесячное пособие по временной нетрудоспособности 2. Пособие по временной нетрудоспособности в случае прекращения деятельности страхователем либо в случае невозможности его выплаты страхователем,
